=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2020-11-6_4-1-17
====================================================================================
4:1:17 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
4:1:17 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
4:1:17 | [PermissionManager] Perm (MenuWebHooks) has been registered!
4:1:17 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
4:1:17 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
4:1:17 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
4:1:17 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
4:1:17 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
4:1:17 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
4:1:17 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
4:1:17 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
4:1:17 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
4:1:17 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
4:1:17 | [PermissionManager] Perm (EspToolsMenu) has been registered!
4:1:17 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
4:1:17 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
4:1:17 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
4:1:17 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
4:1:17 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
4:1:17 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
4:1:17 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
4:1:17 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
4:1:17 | [PermissionManager] Adding Super Admin (76561198056373092)
4:1:17 | [PermissionManager] Adding Super Admin (76561198016128834)
4:1:17 | [PermissionManager] Adding Super Admin (76561198119761432)
4:1:17 | [PermissionManager] Loaded UserGroups.vpp
4:1:17 | Building Sets Loaded: 2
4:3:36 | Player "Zendat" (steamId=76561198016128834) connected to server!
4:3:54 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
4:4:12 | Player "Zendat" (steamId=76561198016128834) connected to server!
4:4:12 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
4:4:20 | [WeatherManager] Send Data Count is 0
4:4:22 | [WeatherManager] Send Data Count is 0
4:4:24 | [Time Manager] Setting Date to 2020/9/20 8:2
4:7:46 | "NeoHoffmann" (steamid=76561198056373092) started to spectate player: "76561198016128834"
4:10:44 | Player "PACHECO" (steamId=76561198858102532) connected to server!
4:11:15 | Player "PACHECO" (steamId=76561198858102532) connected to server!
4:16:2 | Player "PACHECO" (steamId=76561198858102532) disconnected from server.
4:17:4 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
4:17:44 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
4:18:3 | Player "Elgaz_Chikitin" (steamId=76561198104483070) connected to server!
4:18:7 | "NeoHoffmann" (steamid=76561198056373092) started to spectate player: "76561198016128834"
4:18:34 | Player "Elgaz_Chikitin" (steamId=76561198104483070) connected to server!
4:19:8 | Player "Elgaz_Chikitin" (steamId=76561198104483070) connected to server!
4:19:24 | Player "Elgaz_Chikitin" (steamId=76561198104483070) connected to server!
4:22:24 | Player "PACHECO" (steamId=76561198858102532) connected to server!
4:22:55 | Player "PACHECO" (steamId=76561198858102532) connected to server!
4:23:41 | "Zendat" (steamid=76561198016128834) gave godmode to (steamid=76561198858102532)
4:23:44 | "Zendat" (steamid=76561198016128834) gave godmode to (steamid=76561198104483070)
4:23:45 | "Zendat" (steamid=76561198016128834) gave unlimited ammo to (steamid=76561198104483070)
4:23:46 | "Zendat" (steamid=76561198016128834) gave unlimited ammo to (steamid=76561198858102532)
4:37:4 | Player "Elgaz_Chikitin" (steamId=76561198104483070) disconnected from server.
4:37:5 | Player "Elgaz_Chikitin" (steamId=76561198104483070) disconnected from server.
4:47:15 | [WeatherManager] Send Data Count is 0
4:48:13 | Player "Zendat" (steamId=76561198016128834) disconnected from server.
4:48:14 | Player "Zendat" (steamId=76561198016128834) disconnected from server.
4:50:14 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
4:50:31 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
4:51:32 | "NeoHoffmann" (steamid=76561198056373092) started to spectate player: "76561198858102532"
4:53:59 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
4:54:16 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
4:58:56 | "NeoHoffmann" (steamid=76561198056373092) started to spectate player: "76561198858102532"
5:20:44 | Player "PACHECO" (steamId=76561198858102532) disconnected from server.
5:23:3 | Player "PACHECO" (steamId=76561198858102532) connected to server!
5:23:21 | Player "PACHECO" (steamId=76561198858102532) connected to server!
5:41:10 | Player "Supreme" (steamId=76561198358553428) connected to server!
5:41:42 | Player "Supreme" (steamId=76561198358553428) connected to server!
5:45:23 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
5:45:49 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
5:46:55 | "NeoHoffmann" (steamid=76561198056373092) gave godmode to (steamid=76561198056373092)
5:47:24 | "NeoHoffmann" (steamid=76561198056373092) healed player (steamid=76561198056373092)
5:47:41 | Player "PACHECO" (steamId=76561198858102532) disconnected from server.
5:47:43 | Player "PACHECO" (steamId=76561198858102532) disconnected from server.
5:47:53 | "NeoHoffmann" (steamid=76561198056373092) healed player (steamid=76561198358553428)
5:47:57 | "NeoHoffmann" (steamid=76561198056373092) healed player (steamid=76561198358553428)
5:48:1 | "NeoHoffmann" (steamid=76561198056373092) healed player (steamid=76561198358553428)
5:48:2 | "NeoHoffmann" (steamid=76561198056373092) healed player (steamid=76561198358553428)
5:48:3 | "NeoHoffmann" (steamid=76561198056373092) healed player (steamid=76561198358553428)
5:48:4 | "NeoHoffmann" (steamid=76561198056373092) healed player (steamid=76561198358553428)
5:48:34 | Player "NeoHoffmann" (steamId=76561198056373092) disconnected from server.
5:48:35 | Player "NeoHoffmann" (steamId=76561198056373092) disconnected from server.
5:48:39 | Player "Supreme" (steamId=76561198358553428) disconnected from server.
